experiment,n,algorithm,mean_time,std_time,relative_error
Exp3,100,Quick Sort,0.00028133998857811094,5.844751694786986e-05,0.20774692301390546
Exp3,100,Quick Sort 3-Way,0.0001395900151692331,5.2727668454624313e-05,0.3777323785709135
Exp3,100,Counting Sort,0.022154089959803967,0.006642882699136766,0.29984904418053315
Exp3,100,Merge Sort,9.2889997176826e-05,4.927431521043559e-06,0.05304587868232645
Exp3,100,Sort,-1.8550001550465828e-05,1.2650561643821622e-06,0.0
Exp3,107,Quick Sort,9.068001527339222e-05,3.907383138140173e-06,0.04308979355991238
Exp3,107,Quick Sort 3-Way,0.00011890000896528364,7.205868328484595e-06,0.06060443889948369
Exp3,107,Counting Sort,0.018309090007096532,0.0025723001475031265,0.14049306363703018
Exp3,107,Merge Sort,0.0001269300002604723,4.418629008679804e-06,0.034811541791636036
Exp3,107,Sort,9.860005229711535e-06,4.685083845748371e-06,0.4751603814195379
Exp3,114,Quick Sort,0.00010297001572325825,2.4411229742289717e-05,0.23707124419498224
Exp3,114,Quick Sort 3-Way,0.00013090999564155937,3.135770593376239e-05,0.23953637596644614
Exp3,114,Counting Sort,0.018266740022227165,0.003463289766544653,0.18959539372271597
Exp3,114,Merge Sort,0.00012189002009108663,7.849874426701166e-06,0.06440128913618252
Exp3,114,Sort,-9.399955160915879e-07,3.3902727318632793e-06,0.0
Exp3,123,Quick Sort,9.060002630576492e-05,1.4328403034718711e-05,0.15815009795209065
Exp3,123,Quick Sort 3-Way,0.00012256002519279717,6.9201461943789275e-06,0.05646332222511344
Exp3,123,Counting Sort,0.017008630000054835,0.0030427510141275557,0.17889453848533046
Exp3,123,Merge Sort,0.00023366000968962907,0.00013209588755178078,0.565333741649861
Exp3,123,Sort,6.216001929715276e-05,1.1235558659105213e-06,0.01807521745672923
Exp3,132,Quick Sort,0.00022599998628720642,1.0526595827886173e-06,0.0046577860471675924
Exp3,132,Quick Sort 3-Way,0.00016088000265881419,5.436645627625687e-05,0.3379317216419643
Exp3,132,Counting Sort,0.017050670005846768,0.002697752508929094,0.15821973611617726
Exp3,132,Merge Sort,0.00011093999492004514,4.031906342606121e-05,0.36343127160875843
Exp3,132,Sort,-5.592000670731068e-05,6.888321759300374e-07,0.0
Exp3,141,Quick Sort,0.00027662999927997585,8.864927777852273e-05,0.32046154794947324
Exp3,141,Quick Sort 3-Way,0.00018791001057252287,7.439116752048822e-05,0.39588719778064907
Exp3,141,Counting Sort,0.01670220999512822,0.0026680634467951543,0.1597431386369461
Exp3,141,Merge Sort,0.00017445003613829612,7.734502848426388e-06,0.044336493242654436
Exp3,141,Sort,1.334002008661628e-05,1.3492693298507582e-06,0.10114447512747357
Exp3,151,Quick Sort,0.00013505996903404594,6.8941044860853785e-06,0.051044765783616546
Exp3,151,Quick Sort 3-Way,0.00017616997938603164,1.8148399282601932e-05,0.1030164125911279
Exp3,151,Counting Sort,0.017952069989405572,0.003056938103984206,0.17028332141019173
Exp3,151,Merge Sort,0.00043597997864708304,3.8766810478040056e-05,0.08891878612944519
Exp3,151,Sort,8.709997637197375e-05,1.0178837735768378e-06,0.011686384037922234
Exp3,162,Quick Sort,0.00014566000318154692,0.00010216716215747965,0.7014084850055997
Exp3,162,Quick Sort 3-Way,0.00012539001181721687,4.150993987963393e-05,0.3310466222791626
Exp3,162,Counting Sort,0.01885914000449702,0.003051319912246202,0.1617952839587916
Exp3,162,Merge Sort,0.00013299001147970557,9.380565202158332e-06,0.07053586278988942
Exp3,162,Sort,-6.438001291826367e-05,4.5527303978735405e-06,0.0
Exp3,174,Quick Sort,0.0001713800127618015,5.956675573872405e-06,0.03475711944397798
Exp3,174,Quick Sort 3-Way,0.00022105999523773788,1.4785449513114699e-05,0.06688432928451736
Exp3,174,Counting Sort,0.018781419994775207,0.0032278715389641366,0.17186514863424046
Exp3,174,Merge Sort,0.00022508999099954958,1.0608531409670761e-05,0.047130178301406526
Exp3,174,Sort,1.8630002159625292e-05,1.1972412487391181e-05,0.6426414975591169
Exp3,187,Quick Sort,0.00018897000700235367,1.008732659096076e-05,0.05338056949341766
Exp3,187,Quick Sort 3-Way,0.00022711000638082625,1.677316868881542e-05,0.07385482020853615
Exp3,187,Counting Sort,0.018959810002706946,0.0036652864129862435,0.19331873117203918
Exp3,187,Merge Sort,0.00033232002751901744,0.0001958197823595685,0.5892506203176769
Exp3,187,Sort,1.4780007768422366e-05,1.5166196056776273e-06,0.10261290991456042
Exp3,200,Quick Sort,0.00018971998943015934,8.560543129523682e-06,0.045121988227155324
Exp3,200,Quick Sort 3-Way,0.00025929000694304707,4.261767673483888e-05,0.16436297425145208
Exp3,200,Counting Sort,0.016399749985430388,0.0016442129632933604,0.10025841642428004
Exp3,200,Merge Sort,0.00024290999863296747,3.3216405495972813e-05,0.1367436733065986
Exp3,200,Sort,6.919994484633208e-06,1.0270741815024554e-06,0.14842124278902444
Exp3,215,Quick Sort,0.0001883599907159805,3.5660966390809673e-06,0.018932346649231487
Exp3,215,Quick Sort 3-Way,0.0002640599734149873,6.699585375717041e-05,0.2537145364772195
Exp3,215,Counting Sort,0.01706008999608457,0.0029289571252191387,0.17168474057823602
Exp3,215,Merge Sort,0.00026164998998865483,6.890090996135168e-06,0.026333236230713875
Exp3,215,Sort,1.992997713387012e-05,1.1499444232790811e-06,0.057699234452447075
Exp3,231,Quick Sort,0.0002110400004312396,5.712274680176362e-06,0.02706726055962797
Exp3,231,Quick Sort 3-Way,0.000419879995752126,0.00019480555246487725,0.46395530731566387
Exp3,231,Counting Sort,0.01931263000005856,0.005667972420738627,0.293485269521626
Exp3,231,Merge Sort,0.0003002299927175045,8.425087257628711e-06,0.028062110588518485
